history_id,stock,change_date,change_type,field_changed,old_value,new_value,description,source
26,WDI.DE,2018-09-24,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing Commerzbank (inadequate market capitalisation).",Wikipedia: DAX
27,WDI.DE,2020-08-19,INDEX_REMOVE,index_membership,DAX30,,Removed from DAX under new insolvency rule (section 5.1.1); replaced by Delivery Hero. After dataset coverage window.,Wikipedia: DAX
28,X1COV.DE,2018-03-19,INDEX_ADD,index_membership,,DAX30,"Added to DAX, replacing ProSiebenSat.1 Media (inadequate market capitalisation).",Wikipedia: DAX
29,X1COV.DE,2024-12-27,INDEX_REMOVE,index_membership,DAX30,,"Removed from DAX (breach of minimum 10% free-float requirement after ADNOC/XRG stake acquisition), replaced by Fresenius Medical Care. After dataset coverage window.",Wikipedia: DAX
30,DAI.DE,1998-12-21,MERGER,company_name,Daimler-Benz AG,DaimlerChrysler AG,Merger of Daimler-Benz with Chrysler Corporation.,Wikipedia: DAX
31,DAI.DE,2007-10-04,CORPORATE_ACTION,company_name,DaimlerChrysler AG,Daimler AG,Chrysler demerger (sold to Cerberus Capital); renamed Daimler AG.,Public record
32,DAI.DE,2022-02-01,NAME_CHANGE,company_name;ticker,Daimler AG / DAI.DE,Mercedes-Benz Group AG / MBG.DE,Renamed and re-ticked following the spin-off of Daimler Truck Holding AG (2021-12-10). This dataset retains the legacy DAI.DE ticker.,Public record
33,TKA.DE,1999-03-25,MERGER,company_name,Thyssen AG / Fried. Krupp AG Hoesch-Krupp,ThyssenKrupp AG,Merger of Thyssen AG and Fried. Krupp AG Hoesch-Krupp.,Wikipedia: DAX
34,DPW.DE,2023-06-01,NAME_CHANGE,company_name;ticker,Deutsche Post AG / DPW.DE,DHL Group / DHL.DE,Corporate rebrand to DHL Group; ticker changed. This dataset retains the legacy DPW.DE ticker.,Public record
35,HEI.DE,2023-09-19,NAME_CHANGE,company_name,HeidelbergCement AG,Heidelberg Materials AG,Corporate rebrand; ticker (HEI.DE) unchanged.,Public record
36,LIN.DE,2018-10-31,MERGER,company_name,Linde AG,Linde plc,"Merger of equals between Linde AG (Germany) and Praxair Inc. (US); combined entity re-domiciled in Ireland as Linde plc, primary listing moved to NYSE/Nasdaq.",Wikipedia: Linde plc
37,X1COV.DE,2015-09-01,SPINOFF,ownership,Bayer MaterialScience (Bayer AG subsidiary),Covestro AG (independent),Legal and economic spin-off of Bayer's material science business ahead of IPO.,Public record
38,X1COV.DE,2015-10-06,IPO,listing_status,Private (Bayer subsidiary),Public (Frankfurt Stock Exchange),Initial public offering on the Frankfurt Stock Exchange.,Public record
39,X1COV.DE,2025-12-01,MERGER,ownership,Publicly listed (free float),95.1% held by XRG P.J.S.C. / ADNOC International Germany Holding AG,Acquisition by ADNOC's XRG completed; effectively taken private.,Public record
40,WDI.DE,2020-06-25,CORPORATE_ACTION,listing_status,Active,Insolvency filing,Wirecard AG filed for insolvency at the Munich district court following disclosure of a EUR ~1.9bn accounting fraud (missing trust account balances).,Public record
41,WDI.DE,2020-08-25,DELISTING,listing_status,Insolvency filing,Insolvency proceedings opened,Insolvency proceedings formally opened by the Munich Local Court.,Public record
42,FRE.DE,2005-01-31,SPINOFF,related_entity,,Lanxess AG,"Bayer spun off its chemicals business as Lanxess AG (unrelated to Fresenius; included for chemical-sector cross-reference — Lanxess itself briefly a DAX member 2005-2015, not part of this 30-ticker panel).",Wikipedia: DAX
